dte,Gage02161000,Flow02161000,Gage02169500,Flow02169500,Gage02168504,Flow02168504
01DEC17:00:00:00,4.45,2920,3.28,2920,3.75,892
01DEC17:00:15:00,4.45,2920,3.31,2980,3.75,892
01DEC17:00:30:00,4.45,2920,3.35,3060,3.75,892
01DEC17:00:45:00,4.45,2920,3.38,3120,3.75,892
01DEC17:01:00:00,4.45,2920,3.41,3190,3.75,892
01DEC17:01:15:00,4.45,2920,3.44,3250,3.75,892
01DEC17:01:30:00,4.44,2910,3.47,3320,3.75,892
01DEC17:01:45:00,4.44,2910,3.5,3380,3.75,892
01DEC17:02:00:00,4.45,2920,3.53,3450,3.75,892
01DEC17:02:15:00,4.44,2910,3.55,3490,3.75,892
01DEC17:02:30:00,4.45,2920,3.58,3560,3.75,892
01DEC17:02:45:00,4.45,2920,3.6,3610,3.75,892
01DEC17:03:00:00,4.44,2910,3.61,3630,3.75,892
01DEC17:03:15:00,4.45,2920,3.63,3670,3.75,892
01DEC17:03:30:00,4.45,2920,3.64,3700,3.75,892
01DEC17:03:45:00,4.44,2910,3.66,3740,3.75,892
01DEC17:04:00:00,4.45,2920,3.67,3770,3.75,892
01DEC17:04:15:00,4.44,2910,3.68,3790,3.75,892
01DEC17:04:30:00,4.44,2910,3.69,3810,3.75,892
01DEC17:04:45:00,4.44,2910,3.7,3840,3.75,892
01DEC17:05:00:00,4.44,2910,3.71,3860,3.75,892
01DEC17:05:15:00,4.44,2910,3.73,3910,3.75,892
01DEC17:05:30:00,4.44,2910,3.73,3910,3.75,892
01DEC17:05:45:00,4.44,2910,3.74,3930,3.75,892
01DEC17:06:00:00,4.44,2910,3.74,3930,3.75,892
01DEC17:06:15:00,4.43,2890,3.74,3930,3.75,892
01DEC17:06:30:00,4.44,2910,3.75,3960,3.75,892
01DEC17:06:45:00,4.44,2910,3.75,3960,3.75,892
01DEC17:07:00:00,4.44,2910,3.75,3960,3.75,892
01DEC17:07:15:00,4.44,2910,3.75,3960,3.75,892
01DEC17:07:30:00,4.44,2910,3.75,3960,3.75,892
01DEC17:07:45:00,4.44,2910,3.75,3960,3.75,892
01DEC17:08:00:00,4.44,2910,3.75,3960,3.75,892
01DEC17:08:15:00,4.43,2890,3.75,3960,3.75,892
01DEC17:08:30:00,4.44,2910,3.75,3960,3.75,892
01DEC17:08:45:00,4.43,2890,3.75,3960,3.75,892
01DEC17:09:00:00,4.43,2890,3.75,3960,3.75,892
01DEC17:09:15:00,4.43,2890,3.75,3960,3.75,892
01DEC17:09:30:00,4.44,2910,3.75,3960,3.75,892
01DEC17:09:45:00,4.44,2910,3.75,3960,3.75,892
01DEC17:10:00:00,4.44,2910,3.75,3960,3.75,892
01DEC17:10:15:00,4.43,2890,3.74,3930,3.75,892
01DEC17:10:30:00,4.43,2890,3.75,3960,3.75,892
01DEC17:10:45:00,4.44,2910,3.75,3960,3.75,892
01DEC17:11:00:00,4.44,2910,3.75,3960,3.75,892
01DEC17:11:15:00,4.85,3590,3.75,3960,3.75,892
01DEC17:11:30:00,5.1,4030,3.74,3930,3.75,892
01DEC17:11:45:00,5.02,3880,3.74,3930,3.75,892
01DEC17:12:00:00,4.88,3640,3.74,3930,3.75,892
01DEC17:12:15:00,4.78,3470,3.74,3930,3.75,892
01DEC17:12:30:00,4.69,3320,3.74,3930,3.75,892
01DEC17:12:45:00,4.64,3240,3.73,3910,3.75,892
01DEC17:13:00:00,4.61,3190,3.73,3910,3.76,898
01DEC17:13:15:00,4.57,3130,3.73,3910,3.76,898
01DEC17:13:30:00,4.56,3110,3.73,3910,3.75,892
01DEC17:13:45:00,4.54,3080,3.73,3910,3.75,892
01DEC17:14:00:00,4.53,3060,3.73,3910,3.75,892
01DEC17:14:15:00,4.52,3050,3.73,3910,3.75,892
01DEC17:14:30:00,4.52,3050,3.72,3880,3.75,892
01DEC17:14:45:00,4.49,3000,3.72,3880,3.75,892
01DEC17:15:00:00,4.42,2870,3.72,3880,3.75,892
01DEC17:15:15:00,4.36,2760,3.72,3880,3.75,892
01DEC17:15:30:00,4.31,2670,3.72,3880,3.75,892
01DEC17:15:45:00,4.27,2600,3.72,3880,3.75,892
01DEC17:16:00:00,4.24,2550,3.72,3880,3.75,892
01DEC17:16:15:00,4.23,2530,3.72,3880,3.75,892
01DEC17:16:30:00,4.22,2510,3.72,3880,3.75,892
01DEC17:16:45:00,4.2,2480,3.72,3880,3.75,892
01DEC17:17:00:00,4.19,2460,3.72,3880,3.75,892
01DEC17:17:15:00,4.19,2460,3.73,3910,3.75,892
01DEC17:17:30:00,4.19,2460,3.73,3910,3.75,892
01DEC17:17:45:00,4.15,2400,3.73,3910,3.75,892
01DEC17:18:00:00,4.08,2280,3.74,3930,3.75,892
01DEC17:18:15:00,4.01,2160,3.75,3960,3.75,892
01DEC17:18:30:00,3.97,2090,3.76,3980,3.75,892
01DEC17:18:45:00,3.94,2040,3.78,4030,3.75,892
01DEC17:19:00:00,3.91,1990,3.79,4050,3.75,892
01DEC17:19:15:00,3.9,1970,3.81,4100,3.75,892
01DEC17:19:30:00,3.89,1950,3.82,4120,3.75,892
01DEC17:19:45:00,3.88,1940,3.83,4150,3.75,892
01DEC17:20:00:00,3.88,1940,3.85,4200,3.75,892
